20.503	-6.969	-34.961
20.887	-6.717	-34.951
20.479	-7.143	-34.536
20.865	-7.023	-34.643
21.59	-6.752	-34.628
21.756	-6.502	-34.628
21.996	-6.252	-34.63
22.352	-6.078	-34.671
22.551	-5.63	-34.572
22.701	-5.334	-34.536
17.247	11.947	-34.623
16.88	12.171	-34.619
-3.292	13.181	-34.581
-3.612	13.044	-34.584
20.281	-7.691	-34.214
20.493	-7.48	-34.267
20.863	-7.213	-34.255
21.224	-7.052	-34.329
21.653	-6.754	-34.297
21.926	-6.471	-34.274
22.2	-6.231	-34.279
22.522	-5.998	-34.292
22.8	-5.752	-34.297
23.064	-5.497	-34.292
17.923	11.784	-34.196
17.761	11.876	-34.182
17.394	12.01	-34.207
17.091	12.122	-34.214
16.73	12.244	-34.214
16.545	12.353	-34.2
16.347	12.461	-34.203
15.915	12.697	-34.288
-3.665	13.185	-34.306
-4.069	12.972	-34.32
19.55	-8.287	-33.796
19.681	-8.138	-33.76
19.904	-8.047	-33.803
20.151	-7.848	-33.81
20.3	-7.749	-33.808
20.525	-7.78	-33.89
20.805	-7.588	-33.93
21.317	-7.325	-33.957
21.568	-7.023	-33.964
21.84	-6.825	-33.964
22.135	-6.543	-33.957
22.441	-6.337	-33.959
22.768	-6.025	-33.952
23.033	-5.762	-33.964
23.143	-5.491	-33.948
23.786	-4.685	-33.936
18.967	11.452	-33.842
18.183	11.788	-33.837
17.896	11.986	-33.872
17.567	12.094	-33.845
17.261	12.188	-33.842
16.976	12.32	-33.828
16.737	12.426	-33.829
16.512	12.54	-33.851
16.07	12.741	-33.909
15.828	12.865	-33.909
-3.062	13.6	-33.929
-3.466	13.427	-33.941
-3.854	13.272	-33.936
-4.418	13.11	-33.743
-4.619	13.078	-33.631
-4.577	13.101	-33.645
-4.761	12.962	-33.682
-5.173	12.597	-33.856
-5.381	12.647	-33.688
-5.388	12.542	-33.697
-5.617	12.432	-33.718
-5.96	12.237	-33.753
19.571	-8.396	-33.514
19.758	-8.298	-33.548
20.028	-8.214	-33.566
20.207	-8.092	-33.553
20.439	-7.962	-33.562
20.597	-7.768	-33.555
20.867	-7.726	-33.583
21.09	-7.604	-33.622
21.343	-7.459	-33.624
21.53	-7.35	-33.622
21.696	-7.091	-33.628
21.759	-7.04	-33.628
22.076	-6.845	-33.631
22.335	-6.606	-33.638
22.486	-6.471	-33.633
22.675	-6.312	-33.629
22.846	-6.13	-33.622
22.944	-6.008	-33.617
23.21	-5.75	-33.628
23.31	-5.561	-33.638
23.584	-5.239	-33.631
23.726	-5.036	-33.633
23.977	-4.767	-33.64
20.049	11.145	-33.617
19.817	11.215	-33.622
19.682	11.324	-33.603
19.354	11.413	-33.578
19.098	11.548	-33.571
18.769	11.699	-33.555
18.558	11.807	-33.558
18.306	12.002	-33.55
17.967	12.072	-33.539
17.76	12.218	-33.537
17.448	12.337	-33.544
17.175	12.435	-33.553
16.888	12.591	-33.544
16.634	12.653	-33.534
16.24	12.83	-33.583
16.141	12.88	-33.596
15.897	12.997	-33.585
15.644	13.074	-33.578
-3.01	13.801	-33.56
-3.281	13.713	-33.528
-3.694	13.584	-33.495
-3.909	13.515	-33.463
-4.139	13.456	-33.376
-4.352	13.34	-33.433
-4.519	13.225	-33.479
-4.699	13.101	-33.551
-4.869	13.081	-33.436
-5.229	12.88	-33.433
-5.367	12.786	-33.479
-5.473	12.713	-33.438
-5.752	12.547	-33.376
-6.014	12.334	-33.344
-6.279	12.214	-33.417
